subject,model,n_items,n_templates,frac_near_ceiling,frac_near_floor,phi_all,phi_mid,acc,ratio
abstract_algebra,google_gemma_7b_it,100,100,0.13,0.6,0.0018721406579893865,0.046794368760592155,0.2653,24.995113781059416
abstract_algebra,tiiuae_falcon_40b,100,100,0.1,0.57,0.0037425559953578485,0.03678085199824332,0.2796,9.827735922686303
clinical_knowledge,codellama_codellama_34b_instruct,265,100,0.35094339622641507,0.41509433962264153,0.0008310912399143026,0.02130720341481246,0.46241509433962263,25.637622431214094
clinical_knowledge,google_gemma_7b_it,265,100,0.39622641509433965,0.4339622641509434,0.0024236670935739025,0.12536779426699574,0.483811320754717,51.72649106776884
clinical_knowledge,meta_llama_llama_3_8b_instruct,265,100,0.6490566037735849,0.2188679245283019,0.0008608995627454918,0.038365346138455395,0.7195094339622642,44.56425325168548
clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,265,100,0.5283018867924528,0.26037735849056604,0.002178482164456847,0.043377841510143636,0.6371698113207547,19.911956231672377
clinical_knowledge,tiiuae_falcon_40b,265,100,0.42641509433962266,0.29056603773584905,0.0012433237171941179,0.03223769739209283,0.5677358490566038,25.928643478985144
college_mathematics,meta_llama_llama_3_8b_instruct,100,100,0.25,0.5,0.002625969631045772,0.06709404645936319,0.3696,25.550198930763532
college_mathematics,mistralai_mistral_7b_instruct_v0_2,100,100,0.18,0.53,0.0027119114935497293,0.036733465608968195,0.3323,13.545230254135726
econometrics,codellama_codellama_34b_instruct,114,100,0.3333333333333333,0.39473684210526316,0.0022714554511153303,0.05069282089296914,0.4499122807017544,22.317330004459453
econometrics,google_gemma_7b_it,114,100,0.18421052631578946,0.5,0.004045375546186909,0.04953183785465757,0.3500877192982456,12.244064188637639
econometrics,mistralai_mistral_7b_instruct_v0_2,114,100,0.32456140350877194,0.43859649122807015,0.0018694925410046362,0.050596202384809545,0.4467543859649123,27.064137071988494
econometrics,tiiuae_falcon_40b,114,100,0.18421052631578946,0.5087719298245614,0.003125047391891182,0.057408302992488495,0.33035087719298245,18.37037836336516
formal_logic,codellama_codellama_34b_instruct,126,100,0.2222222222222222,0.42857142857142855,0.003680043776006338,0.024818170993382956,0.37793650793650796,6.743987980576732
formal_logic,meta_llama_llama_3_70b_instruct,126,100,0.5079365079365079,0.2619047619047619,0.0027028033682501102,0.05375313418704009,0.6215079365079365,19.88791889875502
formal_logic,mistralai_mistral_7b_instruct_v0_2,126,100,0.2619047619047619,0.5158730158730159,0.002893622902952712,0.08144113775752258,0.35119047619047616,28.14504186928379
formal_logic,tiiuae_falcon_40b,126,100,0.1746031746031746,0.49206349206349204,0.005009479514841264,0.05566623229661298,0.336031746031746,11.112178846463829
high_school_psychology,codellama_codellama_34b_instruct,545,100,0.5596330275229358,0.25688073394495414,0.0015245920588964647,0.03325817009403533,0.6515229357798165,21.814471549922917
high_school_psychology,google_flan_t5_xl,545,100,0.6330275229357798,0.26055045871559634,0.0003485490196078432,0.027091995841995842,0.6880733944954128,77.72793586531209
