ambiguity,model,n_scen,K,phi_strict,phi_broad,ci_s_lo,ci_s_hi,ci_b_lo,ci_b_hi,d_strict,d_strict_lo,d_strict_hi,p_more_fragile_strict,d_broad,d_broad_lo,d_broad_hi,p_more_fragile_broad
low,openai_gpt-4,662,6,0.007655275551573663,0.641734149989019,0.0,0.02179593871854668,0.01597887647768608,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,openai_gpt-3.5-turbo,662,6,0.10724756323606251,0.9162316708873959,0.000611327452252687,0.14174262303720772,0.3733830378917064,0.9477618286181749,0.06738092973104455,-0.000605307660780516,0.1331648792532007,0.9652562779497764,0.2598604667274871,-0.314526608247044,0.6635241436597277,0.891640866873065
low,openai_text-davinci-003,662,6,0.539936839076654,0.9770154158732831,0.0032162797863816246,0.5863210895635399,0.47348484707128363,0.9830672303855899,0.35443786939631167,0.0021989953820888103,0.5739486432238469,0.9927760577915377,0.3585892961043974,-0.20161011039490342,0.7620635902928838,0.9291365669074647
low,openai_text-davinci-002,662,6,0.729490259511058,0.8638629827230929,0.005472104398700355,0.8070013574107137,0.14866894548786297,0.8945715053599386,0.5098050368064593,0.0038342320683889303,0.7984292725373359,0.9955280357757138,0.1790765655752502,-0.5848214730936029,0.737495465508458,0.7199862401100792
low,anthropic_claude-v1.3,662,6,0.058353970596716,0.23920685607899272,0.001841121400384928,0.0897281171329699,0.006646744571382932,0.26058551127374247,0.04021263022881916,-0.009272985805474532,0.0839745330272803,0.9226006191950464,-0.3662784707867807,-0.7551781025306604,0.0583187665797975,0.048503611971104234
low,anthropic_claude-instant-v1.1,662,6,0.003500185907310021,0.7621274756351526,0.0,0.011030017347267704,0.33461723553839307,0.8949396539478119,-0.0035992275068995414,-0.01816069064941782,0.007953187198105097,0.3219814241486068,0.15412973166086696,-0.35134462141528744,0.6209725394469676,0.7684898520811834
low,google_text-bison-001,662,6,0.05778224170689664,0.32641193314666067,0.0022674211637788854,0.09883982823997937,0.0025084515308271297,0.3909992053093452,0.03888153625676178,0.00043011934344857835,0.08868101916318587,0.9800481596147231,-0.27853939093908286,-0.7971179792840469,0.17522562231361738,0.1111111111111111
low,google_flan-t5-xl,662,6,0.5366302575194288,0.6239062366435114,2.9552447020333308e-05,0.6472526175269717,0.026366800351440275,0.6685983523444259,0.4466941610613527,-0.0012112959609890115,0.6387473778189275,0.9501203990368077,0.009271920838902412,-0.7578454720294784,0.5061240668559005,0.5689714482284142
low,cohere_command-xlarge,662,6,0.26022600900380705,0.5560513607014209,0.02423423998467951,0.33551042005821674,0.15087997771256792,0.5610060221532086,0.21908284948563128,0.02343249232590678,0.3294818117958312,0.9924320605435156,-0.06501758218493921,-0.6506908981581933,0.3837368210318199,0.39009287925696595
low,ai21_j2-jumbo-instruct,662,6,0.3806202476409763,0.641594107284905,0.09305299455492994,0.5489730948928369,0.2305331283718339,0.6618782931270536,0.335028193269069,0.08658381107887965,0.5394376733206278,0.999656002751978,0.028123562116749212,-0.45503230432954916,0.46531408293692134,0.5706914344685242
low,bigscience_bloomz-7b1,662,6,0.48956075918382097,0.7149665573035923,0.05995368333401665,0.7052242968894361,0.2546947430941354,0.7804658647404333,0.400907723717833,0.05727561705683414,0.6963156700069354,0.9989680082559339,0.09365183965129449,-0.5059617934229613,0.5954566434111611,0.6762985896112831
low,meta_opt-iml-max-small,662,6,0.47335325761055563,0.686253090182748,0.0019197386930571777,0.6294141452552147,0.12993774678865988,0.7514062378967141,0.36535465995539895,0.0006627361301377673,0.6212376680272204,0.9810801513587891,0.04013896168179099,-0.63085635841157,0.6077631794702449,0.5971792225662195
