mode,cost,residual_probe_var,var_reduction_vs_none,flip_rate,flip_reduction_vs_none
none,1,0.027708350106161638,0.0,0.23291630223979923,0.0
order-sym,2,0.020782033254460718,0.24997218618804307,0.21776515151515152,0.06504976499690784
template-ens,3,0.0069474792290407,0.7492640593026232,0.16772727272727272,0.27988178107606687
both,6,0.0,1.0,0.0,1.0
