m1,m2,flipped,gap_mean,gap_min,gap_max
anthropic_claude-instant-v1.1,openai_gpt-3.5-turbo,True,0.11916788203347856,0.01403924829500347,0.37946497577133037
anthropic_claude-instant-v1.1,openai_gpt-4,True,0.022234146770242064,0.04837357008116572,0.19034349822403196
anthropic_claude-instant-v1.1,openai_text-davinci-002,True,0.20537487840508536,0.060463886970709924,0.45755653403204544
anthropic_claude-instant-v1.1,openai_text-davinci-003,True,0.04124706958638544,0.09362247513962751,0.48647937109530487
anthropic_claude-v1.3,bigscience_bloomz-7b1,False,0.20489453407820046,0.07718243125719682,0.3737202700827225
anthropic_claude-v1.3,cohere_command-xlarge,False,0.1359167396323324,0.07808191463041769,0.21196230835300855
anthropic_claude-v1.3,google_flan-t5-xl,False,0.2291762076970282,0.05319197673459419,0.4031305936078631
anthropic_claude-v1.3,google_text-bison-001,True,0.03999818702549415,0.02534065354770526,0.11920440048888381
anthropic_claude-v1.3,meta_opt-iml-max-small,True,0.16548572945520354,0.06137118802312347,0.3117236693445835
anthropic_claude-v1.3,openai_gpt-3.5-turbo,True,0.08768760839422905,0.052579958845139996,0.3200083593223512
anthropic_claude-v1.3,openai_gpt-4,True,0.009246126869007443,0.03851603306997198,0.17062127262696059
anthropic_claude-v1.3,openai_text-davinci-002,True,0.17389460476583585,0.11419163136664678,0.4364563187570728
anthropic_claude-v1.3,openai_text-davinci-003,True,0.009766795947135929,0.07396185198481398,0.46537915582033224
bigscience_bloomz-7b1,cohere_command-xlarge,True,0.06897779444586806,0.023836808790176467,0.16175796172971396
bigscience_bloomz-7b1,google_flan-t5-xl,True,0.024281673618827743,0.0702136555108383,0.23352425429602552
bigscience_bloomz-7b1,google_text-bison-001,False,0.1648963470527063,0.023316408747682926,0.3015493536490323
bigscience_bloomz-7b1,meta_opt-iml-max-small,True,0.039408804622996924,0.010788692893263618,0.24371614118327195
bigscience_bloomz-7b1,openai_gpt-3.5-turbo,True,0.11720692568397144,0.15040202001051367,0.3211403112375825
bigscience_bloomz-7b1,openai_gpt-4,False,0.21414066094720793,0.008775934330067736,0.42392082803826064
bigscience_bloomz-7b1,openai_text-davinci-002,True,0.030999929312364616,0.03797734925007645,0.27395642332693115
bigscience_bloomz-7b1,openai_text-davinci-003,True,0.19512773813106454,0.07052345661553239,0.4476821220675365
cohere_command-xlarge,google_flan-t5-xl,True,0.0932594680646958,0.04586535771688244,0.3250486789774454
cohere_command-xlarge,google_text-bison-001,True,0.09591855260683825,0.034612664321290176,0.21826173494036044
cohere_command-xlarge,meta_opt-iml-max-small,True,0.02956898982287114,0.04991180317220151,0.23364175471416582
cohere_command-xlarge,openai_gpt-3.5-turbo,True,0.04822913123810336,0.10509725022444494,0.24192644469193353
cohere_command-xlarge,openai_gpt-4,True,0.14516286650133983,0.03504267372990466,0.2696786070784372
cohere_command-xlarge,openai_text-davinci-002,True,0.03797786513350345,0.03423928907025031,0.2977932321171076
cohere_command-xlarge,openai_text-davinci-003,True,0.12614994368519647,0.02100096806588747,0.37107208549461057
