mode,cost,residual_probe_var,var_reduction_vs_none,flip_rate,flip_reduction_vs_none
none,1,0.02540114198588511,0.0,0.35515151515151516,0.0
order-sym,2,0.0029568468926037517,0.8835939386407583,0.16079545454545455,0.5472482935153584
template-ens,3,0.017948280869041194,0.2934065374299044,0.2771212121212121,0.21970989761092163
both,6,0.0,1.0,0.0,1.0
