subject,model,K,n,acc,sigma2_item,sigma2_template,sigma2_resid,phi,phi_excl_resid,acc_spread
abstract_algebra,tiiuae_falcon_180b,100,100,0.3279,0.14086240179573514,0.0,0.08129416386083052,0.0,0.0,0.08999999999999997
abstract_algebra,tiiuae_falcon_40b,100,100,0.2796,0.12355590245893275,0.0,0.07914106723803692,0.0,0.0,0.11999999999999997
anatomy,codellama_codellama_34b_instruct,100,135,0.5177777777777778,0.20951328654147885,0.0,0.04175592296653656,0.0,0.0,0.07407407407407413
anatomy,google_flan_t5_xl,100,135,0.44585185185185183,0.2259512091618228,0.0,0.02284702190506502,0.0,0.0,0.04444444444444445
anatomy,google_flan_t5_xxl,100,135,0.4905925925925926,0.22927115265423723,8.884868586361064e-05,0.022252340988659396,0.000353117359193452,0.0003873765492870902,0.059259259259259234
anatomy,google_flan_ul2,100,135,0.5172592592592593,0.23090968278696303,6.592179394832837e-05,0.020439128711102178,0.0002622033843647557,0.0002854058724857057,0.07407407407407413
anatomy,google_gemma_7b,100,135,0.5902962962962963,0.19106517915473142,0.0,0.0522792100105533,0.0,0.0,0.11111111111111116
anatomy,google_gemma_7b_it,100,135,0.480962962962963,0.22483394475434273,3.39045513174863e-05,0.026437475920062983,0.0001349137798295087,0.00015077545065768935,0.11851851851851847
anatomy,ibm_mistralai_merlinite_7b,100,135,0.6299259259259259,0.17614761210781116,0.0,0.05829793791982847,0.0,0.0,0.11851851851851847
anatomy,meta_llama_llama_3_70b_instruct,100,135,0.7663703703703704,0.15987236656225048,4.395530763690003e-05,0.020316688164117684,0.00024388045024941246,0.00027486442361188975,0.07407407407407407
anatomy,meta_llama_llama_3_8b,100,135,0.6735555555555556,0.17186719600649955,0.000268991741628557,0.0490216928823894,0.0012162882953194612,0.0015626681707518074,0.12592592592592589
anatomy,meta_llama_llama_3_8b_instruct,100,135,0.646,0.18591039192365894,8.959690883405592e-05,0.044065285246048094,0.0003894412539785069,0.0004817038398574566,0.09629629629629632
anatomy,mistralai_mistral_7b_instruct_v0_2,100,135,0.569037037037037,0.2170521355065302,0.0,0.02984228129833437,0.0,0.0,0.059259259259259234
anatomy,mistralai_mistral_7b_v0_1,100,135,0.5864444444444444,0.19552381750060024,2.1497451016521972e-05,0.048434170337984604,8.811171558545055e-05,0.00010993590422680813,0.10370370370370374
anatomy,mistralai_mixtral_8x7b_instruct_v01,100,135,0.6878518518518518,0.1870181527826636,0.0,0.029137734447850536,0.0,0.0,0.05185185185185193
anatomy,tiiuae_falcon_180b,100,135,0.6363703703703704,0.19306062281186662,7.626290545030197e-05,0.03970001842638659,0.00032753787777230377,0.00039486452920196456,0.0888888888888889
anatomy,tiiuae_falcon_40b,100,135,0.550962962962963,0.19927797600102742,0.00010864867581285534,0.049497037818762524,0.0004365440251216767,0.0005449145648006719,0.1111111111111111
astronomy,codellama_codellama_34b_instruct,100,152,0.5458552631578948,0.18853912072977952,0.0005540240325879918,0.06005403019388729,0.0022236817763848504,0.002929900146746363,0.14473684210526316
astronomy,google_flan_t5_xl,100,152,0.4739473684210526,0.22361156000577398,0.0,0.02720928349370315,0.0,0.0,0.06578947368421051
astronomy,google_flan_t5_xxl,100,152,0.6015789473684211,0.22481404318542692,0.0,0.01635796796828515,0.0,0.0,0.05921052631578949
astronomy,google_flan_ul2,100,152,0.5946052631578947,0.22454835035612308,0.0,0.017996961599262052,0.0,0.0,0.046052631578947456
astronomy,google_gemma_7b,100,152,0.7113157894736842,0.14725314314282595,0.0,0.05914717055532671,0.0,0.0,0.07236842105263164
astronomy,google_gemma_7b_it,100,152,0.5411184210526315,0.18993887991099567,0.0005973995796233509,0.05903245156338569,0.002393727680147872,0.0031353586898014542,0.20394736842105265
astronomy,ibm_mistralai_merlinite_7b,100,152,0.6419736842105264,0.16162090581661862,0.0,0.06930537511750479,0.0,0.0,0.10526315789473684
astronomy,meta_llama_llama_3_70b_instruct,100,152,0.9261184210526315,0.05726511366717014,2.7338565156620234e-05,0.011508413694279847,0.0003973578644458295,0.000477175685302482,0.052631578947368474
astronomy,meta_llama_llama_3_8b,100,152,0.6407236842105263,0.18344460639859733,0.0,0.048003197714334,0.0,0.0,0.07894736842105265
astronomy,meta_llama_llama_3_8b_instruct,100,152,0.6826315789473684,0.18684187641489838,2.6062296016983758e-05,0.031009291239336552,0.00011961918197204263,0.00013946906139582414,0.06578947368421051
astronomy,mistralai_mistral_7b_instruct_v0_2,100,152,0.6244078947368421,0.17336233544929958,3.107935401417476e-05,0.06227421038548609,0.00013187791063484528,0.0001792418359683911,0.09868421052631582
astronomy,mistralai_mistral_7b_v0_1,100,152,0.5976973684210526,0.18020191457974657,0.00011624611398051636,0.061327799606380996,0.00048105962059595987,0.0006446722478384305,0.09210526315789469
