draw,capability_phi,dilemma_phi,dilemma_to_capability,n_capability_cells
0,0.005867014341590603,0.14385431023853534,24.519167989545952,47
1,0.010017907658768258,0.14385431023853534,14.359716134199505,47
2,0.008372579801151223,0.14385431023853534,17.18159917911508,47
3,0.004914722743415113,0.14385431023853534,29.270076410978724,47
4,0.015748031496063016,0.14385431023853534,9.13474870014698,47
5,0.00676397294410823,0.14385431023853534,21.267724076844495,47
6,0.006149605356522351,0.14385431023853534,23.39244583979061,47
7,0.005511054565282303,0.14385431023853534,26.1028644399144,47
8,0.010031048483401007,0.14385431023853534,14.340904689732076,47
9,0.009681323114158938,0.14385431023853534,14.858951461722043,47
10,0.006821975469917993,0.14385431023853534,21.086899369965725,47
11,0.007650251858802675,0.14385431023853534,18.803865924101704,47
12,0.0037746023186842905,0.14385431023853534,38.111116905337596,47
13,0.009686464440479239,0.14385431023853534,14.851064712257193,47
14,0.007145543437382491,0.14385431023853534,20.132032153908664,47
15,0.009088613986367096,0.14385431023853534,15.82797007930104,47
16,0.00826895876400826,0.14385431023853534,17.396907439505,47
17,0.007509192004389231,0.14385431023853534,19.157095750707988,47
18,0.007233070767316665,0.14385431023853534,19.88841459820289,47
19,0.010522551635995196,0.14385431023853534,13.67104816539396,47
20,0.009042954031650337,0.14385431023853534,15.907889140544702,47
21,0.0049835430270212845,0.14385431023853534,28.86587101958234,47
22,0.002933327685530324,0.14385431023853534,49.041336550344376,47
23,0.006809041471480642,0.14385431023853534,21.12695462952642,47
24,0.008169181105474668,0.14385431023853534,17.609391734763935,47
25,0.0059812717556503355,0.14385431023853534,24.05078988471646,47
26,0.008652028500799764,0.14385431023853534,16.626657000174923,47
27,0.0065184495402165,0.14385431023853534,22.06879248677247,47
28,0.004301846208998036,0.14385431023853534,33.440133200866136,47
29,0.00977292325380856,0.14385431023853534,14.719680744701904,47
30,0.00568701221976929,0.14385431023853534,25.295234945771085,47
31,0.005560259310275103,0.14385431023853534,25.871870754786418,47
32,0.008140787740931401,0.14385431023853534,17.670809609154205,47
33,0.011444921316165957,0.14385431023853534,12.56927035709202,47
34,0.004945571831743049,0.14385431023853534,29.08749789361252,47
35,0.006495987772258308,0.14385431023853534,22.14510175848513,47
36,0.0061104827281355245,0.14385431023853534,23.542216980037065,47
37,0.0027823240589197984,0.14385431023853534,51.70293150337957,47
38,0.011407351998290233,0.14385431023853534,12.61066637201137,47
39,0.0041537082546181155,0.14385431023853534,34.63274294206805,47
40,0.0034897246994959274,0.14385431023853534,41.22225178946476,47
41,0.012479652740097663,0.14385431023853534,11.52710842476612,47
42,0.0034017652403409366,0.14385431023853534,42.28813573981895,47
43,0.006075382444331085,0.14385431023853534,23.67823121534764,47
44,0.005509069175198801,0.14385431023853534,26.112271540562784,47
45,0.006887141836138002,0.14385431023853534,20.88737442340847,47
46,0.0038896352660264134,0.14385431023853534,36.98401017057173,47
47,0.005671423344310285,0.14385431023853534,25.364763218188184,47
48,0.00627802690582961,0.14385431023853534,22.913936559423796,47
49,0.012121212121212106,0.14385431023853534,11.867980594679182,47
50,0.0055924501922404585,0.14385431023853534,25.72294884952818,47
51,0.005378840858429127,0.14385431023853534,26.744481576007722,47
52,0.005737845958359247,0.14385431023853534,25.071134931560778,47
53,0.006093404465722994,0.14385431023853534,23.60819982454041,47
54,0.0059990650807666395,0.14385431023853534,23.97945484867981,47
55,0.011423550087873463,0.14385431023853534,12.592785003957939,47
56,0.005104114176108188,0.14385431023853534,28.183991438103398,47
57,0.009009009009009004,0.14385431023853534,15.967828436477433,47
58,0.0031899480902540934,0.14385431023853534,45.09612889251647,47
59,0.012146371463714634,0.14385431023853534,11.843397896094103,47
60,0.007232084155161072,0.14385431023853534,19.891127806619313,47
61,0.0024544179523141793,0.14385431023853534,58.61035611432864,47
62,0.007485823266027567,0.14385431023853534,19.216899080610165,47
63,0.0017690169320192033,0.14385431023853534,81.31878651626934,47
64,0.005382040089841925,0.14385431023853534,26.728583926761583,47
65,0.006309865744772106,0.14385431023853534,22.79831553590859,47
66,0.00559427797314466,0.14385431023853534,25.71454456305321,47
67,0.007836897921448274,0.14385431023853534,18.35602705055405,47
68,0.0035378892328503447,0.14385431023853534,40.66105544029068,47
69,0.0021053452376311003,0.14385431023853534,68.32813339459605,47
70,0.012449452496705897,0.14385431023853534,11.555071219123809,47
71,0.008620689655172419,0.14385431023853534,16.68709998767009,47
72,0.005431167046557541,0.14385431023853534,26.48681379257431,47
73,0.011294810934686542,0.14385431023853534,12.736318568800163,47
74,0.006320224719101135,0.14385431023853534,22.760948642185998,47
75,0.008085475021657518,0.14385431023853534,17.791695584144577,47
76,0.0034005116366132033,0.14385431023853534,42.30372532464246,47
77,0.009208545180788619,0.14385431023853534,15.621828140524547,47
78,0.005137811078405142,0.14385431023853534,27.99914361257324,47
79,0.008752549286199856,0.14385431023853534,16.43570410569986,47
80,0.00642312324367723,0.14385431023853534,22.396317925262,47
81,0.01176470588235295,0.14385431023853534,12.227616370275495,47
82,0.00481661290370008,0.14385431023853534,29.866280125610203,47
83,0.009978398942515397,0.14385431023853534,14.416572344648303,47
84,0.007210318694449449,0.14385431023853534,19.95117224836058,47
85,0.0018248175182481864,0.14385431023853534,78.83216201071689,47
86,0.008156426037972038,0.14385431023853534,17.636929406191534,47
87,0.013714989931329764,0.14385431023853534,10.48883819520148,47
88,0.012447442045289789,0.14385431023853534,11.556937539064178,47
89,0.011914285903191463,0.14385431023853534,12.074102586375009,47
90,0.003478765038411363,0.14385431023853534,41.35212026398565,47
91,0.010282776349614388,0.14385431023853534,13.989831670697573,47
92,0.003554201574003557,0.14385431023853534,40.47443771639931,47
93,0.006952735444904846,0.14385431023853534,20.690318419055583,47
94,0.003282198897742835,0.14385431023853534,43.828638885188774,47
95,0.008350730688935283,0.14385431023853534,17.226553651064606,47
96,0.011950332424952541,0.14385431023853534,12.037682729073257,47
97,0.008087535680304486,0.14385431023853534,17.787162360082398,47
98,0.006273167949814674,0.14385431023853534,22.931684818479184,47
99,0.004100198603369845,0.14385431023853534,35.08471763302033,47
100,0.005245799465032336,0.14385431023853534,27.42276200175879,47
101,0.003513703443429386,0.14385431023853534,40.940936693887025,47
102,0.010931806350858936,0.14385431023853534,13.159244284201247,47
103,0.004607164567491767,0.14385431023853534,31.224044231797983,47
104,0.002583594176976203,0.14385431023853534,55.679917349442285,47
105,0.008282013166277339,0.14385431023853534,17.369485818288798,47
106,0.0012842582725360022,0.14385431023853534,112.01353599573766,47
107,0.006986027944111798,0.14385431023853534,20.59171697985885,47
108,0.010418560674933637,0.14385431023853534,13.807503236472888,47
