m1,m2,flipped,gap_mean,gap_min,gap_max
google_flan-t5-xl,openai_text-davinci-003,True,0.0535830272655903,0.010288677100266708,0.2799360263492746
google_text-bison-001,meta_opt-iml-max-small,False,0.1962022907267357,0.08402200676144311,0.5794336690563106
google_text-bison-001,openai_gpt-3.5-turbo,True,0.0018238362354594158,0.00741909213909675,0.053666932154202485
google_text-bison-001,openai_gpt-4,False,0.03240186643093692,0.012944983818770184,0.08315985096079026
google_text-bison-001,openai_text-davinci-002,True,0.12257050400915105,0.005288596683900804,0.6512123590248071
google_text-bison-001,openai_text-davinci-003,True,0.06687146233088033,0.004501099931433439,0.4702608186170846
meta_opt-iml-max-small,openai_gpt-3.5-turbo,False,0.19802612696219513,0.09144109890053986,0.5257667369021081
meta_opt-iml-max-small,openai_gpt-4,False,0.22860415715767265,0.09813687764872037,0.6625935200171008
meta_opt-iml-max-small,openai_text-davinci-002,True,0.07363178671758466,0.041875698573595965,0.2063507615425425
meta_opt-iml-max-small,openai_text-davinci-003,False,0.12933082839585539,0.08852310669287655,0.23886407761638795
openai_gpt-3.5-turbo,openai_gpt-4,False,0.0305780301954775,0.002039627039627012,0.13682678311499274
openai_gpt-3.5-turbo,openai_text-davinci-002,False,0.12439434024461048,0.009906759906759932,0.5975454268706046
openai_gpt-3.5-turbo,openai_text-davinci-003,True,0.06869529856633975,0.001747996826736986,0.4165938864628821
openai_gpt-4,openai_text-davinci-002,False,0.15497237044008796,0.011946386946386944,0.7343722099855974
openai_gpt-4,openai_text-davinci-003,False,0.09927332876181726,0.0,0.5534206695778748
openai_text-davinci-002,openai_text-davinci-003,False,0.05569904167827073,0.011654756733496918,0.1809515404077226
