corpus,cell,K_available,K_pool,n_subsets,phi_min,phi_p25,phi_med,phi_p75,phi_max,phi_full,phi_greedy_min,phi_greedy_max
MoralChoice,high|openai_gpt-4,6,2,15,0.0,0.004567267709884357,0.011407496354747396,0.026160579321551868,0.06418858005067517,0.016884600819069995,0.0,0.06418858005067517
MoralChoice,high|openai_gpt-4,6,3,20,0.003071049136786188,0.008325221585247188,0.016263020584784803,0.020654137182841464,0.03667611153774856,0.016884600819069995,0.003071049136786188,0.03667611153774856
MoralChoice,high|openai_gpt-4,6,4,15,0.006287317693888872,0.012121170853099612,0.014526540036483775,0.023383692877744805,0.026759435754363015,0.016884600819069995,0.006287317693888872,0.026759435754363018
MoralChoice,high|openai_gpt-4,6,5,6,0.01091020152996702,0.013228290227349976,0.018903174118646372,0.020166436814159614,0.020678265769047677,0.016884600819069995,0.010910201529967025,0.020678265769047677
MoralChoice,high|openai_gpt-4,6,6,1,0.016884600819069995,0.016884600819069995,0.016884600819069995,0.016884600819069995,0.016884600819069995,0.016884600819069995,0.016884600819069995,0.016884600819069995
MoralChoice,high|openai_gpt-3.5-turbo,6,2,15,0.0,0.009350480694679614,0.017548418285645212,0.03422800992924392,0.07932947176928826,0.025343121213598132,0.0,0.07932947176928826
MoralChoice,high|openai_gpt-3.5-turbo,6,3,20,0.006025823867003655,0.012090579533074488,0.02568049006469549,0.03597725436305349,0.05086110646442562,0.025343121213598132,0.006025823867003655,0.05086110646442562
MoralChoice,high|openai_gpt-3.5-turbo,6,4,15,0.010194503387738158,0.020722664002545146,0.025856320587174974,0.031310349113203656,0.04251921291892235,0.025343121213598132,0.010194503387738158,0.04251921291892235
MoralChoice,high|openai_gpt-3.5-turbo,6,5,6,0.01875179148791108,0.020974247746879383,0.024779249622672198,0.030257629990708468,0.03190522978810182,0.025343121213598132,0.02006254123992313,0.03190522978810183
MoralChoice,high|openai_gpt-3.5-turbo,6,6,1,0.025343121213598132,0.025343121213598132,0.025343121213598132,0.025343121213598132,0.025343121213598132,0.025343121213598132,0.025343121213598132,0.025343121213598132
MoralChoice,high|openai_text-davinci-003,6,2,15,5.301467976482826e-05,0.009845372249769864,0.23337504402101034,0.6183890320391213,0.9331811058043333,0.4078398777046571,5.301467976482826e-05,0.9331811058043333
MoralChoice,high|openai_text-davinci-003,6,3,20,0.0019952238682531924,0.12901805324392637,0.3138581725099375,0.5353766008987212,0.7530164956111348,0.4078398777046571,0.0019952238682531924,0.7530164956111348
MoralChoice,high|openai_text-davinci-003,6,4,15,0.008184275788109652,0.10798001158579147,0.42125550696953,0.5688234877733546,0.5990887087174468,0.4078398777046571,0.008184275788109652,0.5990887087174468
MoralChoice,high|openai_text-davinci-003,6,5,6,0.08256292585097624,0.37956429740696773,0.4721583385439681,0.4829231181282219,0.4897124985107658,0.4078398777046571,0.08256292585097622,0.4897124985107658
MoralChoice,high|openai_text-davinci-003,6,6,1,0.4078398777046571,0.4078398777046571,0.4078398777046571,0.4078398777046571,0.4078398777046571,0.4078398777046571,0.4078398777046571,0.4078398777046571
MoralChoice,high|openai_text-davinci-002,6,2,15,0.00047578492618197913,0.10763564758223368,0.20491390765924952,0.44118566311313917,0.8136229884561906,0.3057579007059095,0.00047578492618197913,0.8136229884561906
MoralChoice,high|openai_text-davinci-002,6,3,20,0.04854086420197512,0.14235182276080682,0.2790672661503473,0.3394179989277516,0.5900495594985745,0.3057579007059095,0.04854086420197512,0.5900495594985745
MoralChoice,high|openai_text-davinci-002,6,4,15,0.07849050555181633,0.21518498238150136,0.25127682209244323,0.43028946322560313,0.4568069451473508,0.3057579007059095,0.07849050555181634,0.4568069451473508
MoralChoice,high|openai_text-davinci-002,6,5,6,0.19290552239764122,0.23369386134983874,0.3511347398647003,0.36138122257709926,0.3670230405747771,0.3057579007059095,0.19290552239764125,0.3670230405747771
MoralChoice,high|openai_text-davinci-002,6,6,1,0.3057579007059095,0.3057579007059095,0.3057579007059095,0.3057579007059095,0.3057579007059095,0.3057579007059095,0.30575790070590947,0.3057579007059095
MoralChoice,high|anthropic_claude-v1.3,6,2,15,0.0,0.006569137339428963,0.08102334872773663,0.12219484862324254,0.21959990158411727,0.08450293828169518,0.0,0.21959990158411727
MoralChoice,high|anthropic_claude-v1.3,6,3,20,0.00396993197334768,0.06314633890387135,0.09019907641552719,0.10681776388234947,0.14667257003706272,0.08450293828169518,0.00396993197334768,0.14667257003706272
MoralChoice,high|anthropic_claude-v1.3,6,4,15,0.010826854211697925,0.07324238465886646,0.08665212086849554,0.10210790667390068,0.12489674768046453,0.08450293828169518,0.010826854211697927,0.12489674768046453
